iter	Passed	Remaining
0	157	47088
1	181	26999
2	202	20095
3	225	16696
4	248	14646
5	268	13176
6	289	12098
7	310	11321
8	331	10714
9	355	10319
10	377	9909
11	399	9585
12	419	9260
13	440	9006
14	462	8784
15	483	8582
16	504	8394
17	523	8204
18	543	8037
19	562	7877
20	582	7735
21	600	7582
22	619	7465
23	638	7343
24	657	7228
25	676	7130
26	698	7058
27	718	6981
28	738	6903
29	757	6821
30	776	6741
31	796	6668
32	814	6588
33	833	6524
34	864	6542
35	883	6479
36	901	6407
37	919	6340
38	941	6300
39	962	6255
40	982	6205
41	1004	6168
42	1023	6115
43	1043	6073
44	1062	6023
45	1081	5971
46	1100	5926
47	1120	5882
48	1139	5836
49	1158	5792
50	1177	5747
51	1194	5697
52	1213	5656
53	1233	5617
54	1254	5589
55	1273	5550
56	1292	5508
57	1311	5472
58	1331	5439
59	1352	5408
60	1371	5372
61	1390	5336
62	1408	5299
63	1427	5265
64	1448	5237
65	1467	5203
66	1486	5169
67	1505	5136
68	1526	5109
69	1550	5093
70	1569	5062
71	1589	5034
72	1608	5003
73	1629	4975
74	1646	4940
75	1666	4911
76	1685	4882
77	1705	4852
78	1726	4828
79	1744	4797
80	1763	4767
81	1780	4732
82	1801	4710
83	1822	4685
84	1842	4660
85	1864	4639
86	1883	4612
87	1902	4583
88	1921	4554
89	1939	4525
90	1960	4501
91	1980	4478
92	1999	4450
93	2019	4425
94	2038	4399
95	2057	4372
96	2077	4347
97	2097	4323
98	2117	4299
99	2136	4273
100	2159	4255
101	2179	4231
102	2196	4200
103	2215	4175
104	2234	4150
105	2252	4123
106	2271	4097
107	2291	4073
108	2310	4048
109	2327	4020
110	2348	3999
111	2369	3977
112	2388	3953
113	2407	3927
114	2428	3906
115	2447	3881
116	2466	3858
117	2489	3839
118	2509	3816
119	2528	3792
120	2547	3769
121	2567	3745
122	2588	3725
123	2607	3700
124	2626	3677
125	2645	3653
126	2664	3630
127	2685	3608
128	2703	3584
129	2723	3561
130	2742	3538
131	2761	3514
132	2779	3490
133	2801	3469
134	2820	3447
135	2840	3424
136	2858	3400
137	2876	3376
138	2894	3352
139	2913	3330
140	2933	3308
141	2954	3287
142	2973	3264
143	2993	3242
144	3012	3219
145	3031	3198
146	3051	3176
147	3069	3152
148	3088	3129
149	3108	3108
150	3127	3086
151	3147	3064
152	3166	3042
153	3185	3019
154	3204	2997
155	3224	2976
156	3245	2956
157	3264	2934
158	3282	2910
159	3301	2888
160	3319	2866
161	3339	2844
162	3358	2822
163	3376	2800
164	3395	2778
165	3415	2757
166	3433	2734
167	3452	2712
168	3475	2693
169	3494	2672
170	3513	2650
171	3534	2630
172	3555	2610
173	3575	2588
174	3596	2568
175	3615	2546
176	3634	2525
177	3653	2504
178	3672	2482
179	3699	2466
180	3718	2444
181	3738	2423
182	3758	2402
183	3778	2381
184	3799	2361
185	3819	2341
186	3837	2319
187	3858	2298
188	3879	2278
189	3899	2257
190	3917	2235
191	3938	2215
192	3958	2194
193	3975	2172
194	3996	2151
195	4014	2130
196	4034	2109
197	4056	2089
198	4073	2067
199	4091	2045
200	4109	2024
201	4128	2002
202	4148	1982
203	4168	1961
204	4188	1940
205	4207	1919
206	4226	1899
207	4247	1878
208	4268	1858
209	4286	1837
210	4304	1815
211	4325	1795
212	4343	1774
213	4363	1753
214	4383	1732
215	4402	1711
216	4421	1691
217	4440	1670
218	4458	1649
219	4478	1628
220	4497	1607
221	4521	1588
222	4541	1568
223	4559	1546
224	4578	1526
225	4598	1505
226	4617	1484
227	4635	1463
228	4655	1443
229	4674	1422
230	4692	1401
231	4715	1382
232	4734	1361
233	4753	1340
234	4770	1319
235	4789	1298
236	4806	1277
237	4826	1257
238	4847	1237
239	4865	1216
240	4885	1195
241	4905	1175
242	4924	1155
243	4944	1134
244	4962	1113
245	4983	1093
246	5002	1073
247	5020	1052
248	5040	1032
249	5059	1011
250	5082	992
251	5102	971
252	5120	951
253	5139	930
254	5158	910
255	5178	890
256	5197	869
257	5216	849
258	5236	828
259	5253	808
260	5272	787
261	5290	767
262	5310	747
263	5329	726
264	5350	706
265	5369	686
266	5388	666
267	5409	645
268	5428	625
269	5447	605
270	5468	585
271	5487	564
272	5506	544
273	5526	524
274	5545	504
275	5562	483
276	5584	463
277	5606	443
278	5624	423
279	5644	403
280	5662	382
281	5680	362
282	5699	342
283	5717	322
284	5736	301
285	5755	281
286	5776	261
287	5794	241
288	5814	221
289	5833	201
290	5854	181
291	5873	160
292	5891	140
293	5909	120
294	5928	100
295	5948	80
296	5968	60
297	5988	40
298	6006	20
299	6028	0
